dta_train,dta_test,train_percentage,num_docs,num_rels,num_shown,num_feedback,rels_found,last_rel,wss_100,wss_95,NCG@10,NCG@20,NCG@30,NCG@40,NCG@50,NCG@60,NCG@70,NCG@80,NCG@90,NCG@100,total_cost,total_cost_uniform,total_cost_weighted,norm_area,ap,r,loss_e,loss_r,loss_er,recall,cost,rho,beta
elasticsearch,mct,0.5,6091.0,23.0,1232.0,1232.0,14.0,651.0,0.0,0.0,0.565,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,3696.0,7498.696,13376.039,0.583,0.021,0.609,0.027,0.153,0.18,0.6086956521739131,0.2022656378263011,6,1000.0
elasticsearch,mct,1.0,6091.0,23.0,1105.0,1105.0,14.0,809.0,0.0,0.0,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,3315.0,7217.087,13248.047,0.584,0.026,0.609,0.022,0.153,0.175,0.6086956521739131,0.18141520275816778,6,1000.0
hazelcast,junit,0.1,5432.0,87.0,2316.0,2316.0,78.0,2313.0,0.0,0.0,0.483,0.77,0.805,0.862,0.862,0.862,0.862,0.862,0.862,0.862,6948.0,7592.69,13155.656,0.802,0.157,0.897,0.052,0.011,0.063,0.896551724137931,0.4263622974963181,6,1000.0
hazelcast,junit,0.2,5432.0,87.0,1696.0,1696.0,69.0,1402.0,0.0,0.0,0.356,0.667,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,5088.0,6633.931,12559.943,0.712,0.072,0.793,0.028,0.043,0.071,0.7931034482758621,0.3122238586156112,6,1000.0
hazelcast,junit,0.3,5432.0,87.0,1526.0,1526.0,67.0,1220.0,0.0,0.0,0.494,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,4578.0,6373.862,12389.985,0.717,0.141,0.77,0.023,0.053,0.075,0.7701149425287356,0.2809278350515464,6,1000.0
hazelcast,junit,0.4,5432.0,87.0,4697.0,4697.0,87.0,3429.0,0.369,0.323,0.471,0.586,0.782,0.851,0.874,0.92,1.0,1.0,1.0,1.0,14091.0,14091.0,14091.0,0.816,0.157,1.0,0.214,0.0,0.214,1.0,0.8646907216494846,6,1000.0
hazelcast,junit,0.5,5432.0,87.0,4697.0,4697.0,87.0,3658.0,0.327,0.367,0.425,0.69,0.77,0.851,0.897,0.977,1.0,1.0,1.0,1.0,14091.0,14091.0,14091.0,0.822,0.102,1.0,0.214,0.0,0.214,1.0,0.8646907216494846,6,1000.0
hazelcast,junit,1.0,5432.0,87.0,4697.0,4697.0,87.0,3731.0,0.313,0.309,0.471,0.609,0.782,0.862,0.874,0.92,1.0,1.0,1.0,1.0,14091.0,14091.0,14091.0,0.814,0.135,1.0,0.214,0.0,0.214,1.0,0.8646907216494846,6,1000.0
hazelcast,mct,0.1,6091.0,23.0,1105.0,1105.0,11.0,955.0,0.0,0.0,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,3315.0,8517.783,13282.131,0.454,0.009,0.478,0.022,0.272,0.294,0.4782608695652174,0.18141520275816778,6,1000.0
hazelcast,mct,0.2,6091.0,23.0,1883.0,1883.0,12.0,1199.0,0.0,0.0,0.391,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,0.522,5649.0,9674.043,14056.781,0.482,0.009,0.522,0.063,0.229,0.292,0.5217391304347826,0.3091446396322443,6,1000.0
hazelcast,mct,0.3,6091.0,23.0,1105.0,1105.0,10.0,994.0,0.0,0.0,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,3315.0,8951.348,13284.565,0.412,0.007,0.435,0.022,0.319,0.341,0.43478260869565216,0.18141520275816778,6,1000.0
